ID,NationalDex,Name,HP,Atk,Def,SpA,SpD,Spe,Total,Type1,Type2,Tier,Ability1,Ability2,HiddenAbility,Mass,LK/GK,EVYield,EXPV,Color,Hatch,Gender,EggGroup1,EggGroup2,Catch,EXP,Evolve,EvolveNum,HasForms,IsForm,IsAlolanForm,IsGalarianForm,EvolvesFromRegionalForm,JohtoDex,HoennDex,SinnohDex,UnovaDex,KalosDex,AlolaDex,GalarDex,PrevEvolution,NextEvolution
8,6,Charizard,78,84,78,109,85,100,534,Fire,Flying,,Blaze,None,Solar Power,90.5 kG,80,3 SpA,240,Red,5120,M (87.5%),Monster,Dragon,45,1059860,Lv. 36,1,True,False,False,False,False,236,-1,-1,-1,85,-1,380,Charmeleon,
12,7,Squirtle,44,48,65,50,64,43,314,Water,,,Torrent,None,Rain Dish,9 kG,20,1 Def,63,Blue,5120,M (87.5%),Monster,Water1,45,1059860,,1,False,False,False,False,False,237,-1,-1,-1,86,-1,-1,,Wartortle
13,8,Wartortle,59,63,80,65,80,58,405,Water,,,Torrent,None,Rain Dish,22.5 kG,40,1 Def/1 SpD,142,Blue,5120,M (87.5%),Monster,Water1,45,1059860,Lv. 16,1,False,False,False,False,False,238,-1,-1,-1,87,-1,-1,Squirtle,Blastoise
15,9,Blastoise (Mega),79,103,120,135,115,78,630,Water,,,Mega Launcher,None,,101.1 kG,100,3 SpD,284,Blue,5120,M (87.5%),Monster,Water1,45,1059860,Lv. 36,1,True,True,False,False,False,239,-1,-1,-1,88,-1,-1,Wartortle,
16,9,Blastoise (Gmax),79,83,100,85,105,78,530,Water,,,Torrent,None,Rain Dish,1000 kG,120,3 SpD,239,Blue,5120,M (87.5%),Monster,Water1,45,1059860,Lv. 36,1,True,True,False,False,False,239,-1,-1,-1,88,-1,-1,Wartortle,
14,9,Blastoise,79,83,100,85,105,78,530,Water,,,Torrent,None,Rain Dish,85.5 kG,80,3 SpD,239,Blue,5120,M (87.5%),Monster,Water1,45,1059860,Lv. 36,1,True,False,False,False,False,239,-1,-1,-1,88,-1,-1,Wartortle,
17,10,Caterpie,45,30,35,20,20,45,195,Bug,,,Shield Dust,None,Run Away,2.9 kG,20,1 HP,39,Green,3840,Neutral,Bug,,255,1000000,,1,False,False,False,False,False,24,-1,-1,-1,23,17,13,,Metapod
18,11,Metapod,50,20,55,25,25,30,205,Bug,,,Shed Skin,None,,9.9 kG,20,2 Def,72,Green,3840,Neutral,Bug,,120,1000000,Lv. 7,1,False,False,False,False,False,25,-1,-1,-1,24,18,14,Caterpie,Butterfree
20,12,Butterfree (Gmax),60,45,50,90,80,70,395,Bug,Flying,,Compound Eyes,None,Tinted Lens,1000 kG,120,2 SpA/1 SpD,178,White,3840,Neutral,Bug,,45,1000000,Lv. 10,1,True,True,False,False,False,26,-1,-1,-1,25,19,15,Metapod,
19,12,Butterfree,60,45,50,90,80,70,395,Bug,Flying,,Compound Eyes,None,Tinted Lens,32 kG,60,2 SpA/1 SpD,178,White,3840,Neutral,Bug,,45,1000000,Lv. 10,1,True,False,False,False,False,26,-1,-1,-1,25,19,15,Metapod,
21,13,Weedle,40,35,30,20,20,50,195,Bug,Poison,,Shield Dust,None,Run Away,3.2 kG,20,1 Spe,39,Brown,3840,Neutral,Bug,,255,1000000,,1,False,False,False,False,False,27,-1,-1,-1,26,-1,-1,,Kakuna
22,14,Kakuna,45,25,50,25,25,35,205,Bug,Poison,,Shed Skin,None,,10 kG,20,2 Def,72,Yellow,3840,Neutral,Bug,,120,1000000,Lv. 7,1,False,False,False,False,False,28,-1,-1,-1,27,-1,-1,Weedle,Beedrill
24,15,Beedrill (Mega),65,150,40,15,80,145,495,Bug,Poison,,Adaptability,None,,40.5 kG,60,2 Atk/1 SpD,223,Yellow,3840,Neutral,Bug,,45,1000000,Lv. 10,1,True,True,False,False,False,29,-1,-1,-1,28,-1,-1,Kakuna,
23,15,Beedrill,65,90,40,45,80,75,395,Bug,Poison,,Swarm,None,Sniper,29.5 kG,60,2 Atk/1 SpD,178,Yellow,3840,Neutral,Bug,,45,1000000,Lv. 10,1,True,False,False,False,False,29,-1,-1,-1,28,-1,-1,Kakuna,
25,16,Pidgey,40,45,40,35,35,56,251,Normal,Flying,,Keen Eye,Tangled Feet,Big Pecks,1.8 kG,20,1 Spe,50,Brown,3840,Neutral,Flying,,255,1059860,,1,False,False,False,False,False,10,-1,-1,-1,17,-1,-1,,Pidgeotto
26,17,Pidgeotto,63,60,55,50,50,71,349,Normal,Flying,,Keen Eye,Tangled Feet,Big Pecks,30 kG,60,2 Spe,122,Brown,3840,Neutral,Flying,,120,1059860,Lv. 18,1,False,False,False,False,False,11,-1,-1,-1,18,-1,-1,Pidgey,Pidgeot
28,18,Pidgeot (Mega),83,80,80,135,80,121,579,Normal,Flying,,No Guard,None,,50.5 kG,80,3 Spe,261,Brown,3840,Neutral,Flying,,45,1059860,Lv. 36,1,True,True,False,False,False,12,-1,-1,-1,19,-1,-1,Pidgeotto,
27,18,Pidgeot,83,80,75,70,70,101,479,Normal,Flying,,Keen Eye,Tangled Feet,Big Pecks,39.5 kG,60,3 Spe,216,Brown,3840,Neutral,Flying,,45,1059860,Lv. 36,1,True,False,False,False,False,12,-1,-1,-1,19,-1,-1,Pidgeotto,
30,19,Rattata (Alola),30,56,35,25,35,72,253,Dark,Normal,,Gluttony,Hustle,Thick Fat,3.8 kG,20,1 Spe,51,Purple,3840,Neutral,Field,,255,1000000,,1,True,True,True,False,False,17,-1,-1,-1,-1,15,-1,,Raticate
29,19,Rattata,30,56,35,25,35,72,253,Normal,,,Run Away,Guts,Hustle,3.5 kG,20,1 Spe,51,Purple,3840,Neutral,Field,,255,1000000,,1,True,False,False,False,False,17,-1,-1,-1,-1,15,-1,,Raticate
32,20,Raticate (Alola),75,71,70,40,80,77,413,Dark,Normal,,Gluttony,Hustle,Thick Fat,25.5 kG,60,2 Spe,145,Brown,3840,Neutral,Field,,127,1000000,Lv. 20,1,True,True,True,False,True,18,-1,-1,-1,-1,16,-1,Rattata (Alola),
31,20,Raticate,55,81,60,50,70,97,413,Normal,,,Run Away,Guts,Hustle,18.5 kG,40,2 Spe,145,Brown,3840,Neutral,Field,,127,1000000,Lv. 20,1,True,False,False,False,False,18,-1,-1,-1,-1,16,-1,Rattata,
33,21,Spearow,40,60,30,31,31,70,262,Normal,Flying,,Keen Eye,None,Sniper,2 kG,20,1 Spe,52,Brown,3840,Neutral,Flying,,255,1000000,,1,False,False,False,False,False,13,-1,-1,-1,-1,73,-1,,Fearow
34,22,Fearow,65,90,65,61,61,100,442,Normal,Flying,,Keen Eye,None,Sniper,38 kG,60,2 Spe,155,Brown,3840,Neutral,Flying,,90,1000000,Lv. 20,1,False,False,False,False,False,14,-1,-1,-1,-1,74,-1,Spearow,
35,23,Ekans,35,60,44,40,54,55,288,Poison,,,Intimidate,Shed Skin,Unnerve,6.9 kG,20,1 Atk,58,Purple,5120,Neutral,Field,Dragon,255,1000000,,1,False,False,False,False,False,50,-1,-1,-1,-1,-1,-1,,Arbok
36,24,Arbok,60,95,69,65,79,80,448,Poison,,,Intimidate,Shed Skin,Unnerve,65 kG,80,2 Atk,157,Purple,5120,Neutral,Field,Dragon,90,1000000,Lv. 22,1,False,False,False,False,False,51,-1,-1,-1,-1,-1,-1,Ekans,
38,25,Pikachu (Rock-Star),35,55,40,50,50,90,320,Electric,,,Static,None,Lightning Rod,6 kG,20,2 Spe,112,Yellow,2560,Neutral,Field,Fairy,190,1000000,,,True,True,False,False,False,22,156,104,-1,36,25,194,,
39,25,Pikachu (Belle),35,55,40,50,50,90,320,Electric,,,Static,None,Lightning Rod,6 kG,20,2 Spe,112,Yellow,2560,Neutral,Field,Fairy,190,1000000,,,True,True,False,False,False,22,156,104,-1,36,25,194,,
40,25,Pikachu (Pop-Star),35,55,40,50,50,90,320,Electric,,,Static,None,Lightning Rod,6 kG,20,2 Spe,112,Yellow,2560,Neutral,Field,Fairy,190,1000000,,,True,True,False,False,False,22,156,104,-1,36,25,194,,
41,25,Pikachu (Phd),35,55,40,50,50,90,320,Electric,,,Static,None,Lightning Rod,6 kG,20,2 Spe,112,Yellow,2560,Neutral,Field,Fairy,190,1000000,,,True,True,False,False,False,22,156,104,-1,36,25,194,,
42,25,Pikachu (Libre),35,55,40,50,50,90,320,Electric,,,Static,None,Lightning Rod,6 kG,20,2 Spe,112,Yellow,2560,Neutral,Field,Fairy,190,1000000,,,True,True,False,False,False,22,156,104,-1,36,25,194,,
43,25,Pikachu (Cosplay),35,55,40,50,50,90,320,Electric,,,Static,None,Lightning Rod,6 kG,20,2 Spe,112,Yellow,2560,Neutral,Field,Fairy,190,1000000,,,True,True,False,False,False,22,156,104,-1,36,25,194,,
44,25,Pikachu (Original-Cap),35,55,40,50,50,90,320,Electric,,,Static,None,Lightning Rod,6 kG,20,2 Spe,112,Yellow,2560,Neutral,Field,Fairy,190,1000000,,,True,True,False,False,False,22,156,104,-1,36,25,194,,
45,25,Pikachu (Hoenn-Cap),35,55,40,50,50,90,320,Electric,,,Static,None,Lightning Rod,6 kG,20,2 Spe,112,Yellow,2560,Neutral,Field,Fairy,190,1000000,,,True,True,False,False,False,22,156,104,-1,36,25,194,,
46,25,Pikachu (Sinnoh-Cap),35,55,40,50,50,90,320,Electric,,,Static,None,Lightning Rod,6 kG,20,2 Spe,112,Yellow,2560,Neutral,Field,Fairy,190,1000000,,,True,True,False,False,False,22,156,104,-1,36,25,194,,
47,25,Pikachu (Unova-Cap),35,55,40,50,50,90,320,Electric,,,Static,None,Lightning Rod,6 kG,20,2 Spe,112,Yellow,2560,Neutral,Field,Fairy,190,1000000,,,True,True,False,False,False,22,156,104,-1,36,25,194,,
48,25,Pikachu (Kalos-Cap),35,55,40,50,50,90,320,Electric,,,Static,None,Lightning Rod,6 kG,20,2 Spe,112,Yellow,2560,Neutral,Field,Fairy,190,1000000,,,True,True,False,False,False,22,156,104,-1,36,25,194,,
49,25,Pikachu (Alola-Cap),35,55,40,50,50,90,320,Electric,,,Static,None,Lightning Rod,6 kG,20,2 Spe,112,Yellow,2560,Neutral,Field,Fairy,190,1000000,,,True,True,False,False,False,22,156,104,-1,36,25,194,,
50,25,Pikachu (Partner-Cap),35,55,40,50,50,90,320,Electric,,,Static,None,Lightning Rod,6 kG,20,2 Spe,112,Yellow,2560,Neutral,Field,Fairy,190,1000000,,,True,True,False,False,False,22,156,104,-1,36,25,194,,
51,25,Pikachu (Gmax),35,55,40,50,50,90,320,Electric,,,Static,None,Lightning Rod,1000 kG,120,2 Spe,112,Yellow,2560,Neutral,Field,Fairy,190,1000000,,,True,True,False,False,False,22,156,104,-1,36,25,194,,
37,25,Pikachu,35,55,40,50,50,90,320,Electric,,,Static,None,Lightning Rod,6 kG,20,2 Spe,112,Yellow,2560,Neutral,Field,Fairy,190,1000000,Friendship,1,True,False,False,False,False,22,156,104,-1,36,25,194,Pichu,"Raichu,Raichu (Alola)"
53,26,Raichu (Alola),60,85,50,95,85,110,485,Electric,Psychic,,Surge Surfer,None,,21 kG,40,3 Spe,218,Yellow,2560,Neutral,Field,Fairy,75,1000000,Thunder Stone (Alolan form),1,True,True,True,False,False,23,157,105,-1,37,26,195,Pikachu,
52,26,Raichu,60,90,55,90,80,110,485,Electric,,,Static,None,Lightning Rod,30 kG,60,3 Spe,218,Yellow,2560,Neutral,Field,Fairy,75,1000000,Thunder Stone,1,True,False,False,False,False,23,157,105,-1,37,26,195,Pikachu,
55,27,Sandshrew (Alola),50,75,90,10,35,40,300,Ice,Steel,,Snow Cloak,None,Slush Rush,40 kG,60,1 Def,60,Yellow,5120,Neutral,Field,,255,1000000,,1,True,True,True,False,False,48,112,-1,-1,-1,251,-1,,Sandslash
54,27,Sandshrew,50,75,85,20,30,40,300,Ground,,,Sand Veil,None,Sand Rush,12 kG,40,1 Def,60,Yellow,5120,Neutral,Field,,255,1000000,,1,True,False,False,False,False,48,112,-1,-1,-1,251,-1,,Sandslash
57,28,Sandslash (Alola),75,100,120,25,65,65,450,Ice,Steel,,Snow Cloak,None,Slush Rush,55 kG,80,2 Def,158,Yellow,5120,Neutral,Field,,90,1000000,Lv. 22,1,True,True,True,False,True,49,113,-1,-1,-1,252,-1,Sandshrew (Alola),
56,28,Sandslash,75,100,110,45,55,65,450,Ground,,,Sand Veil,None,Sand Rush,29.5 kG,60,2 Def,158,Yellow,5120,Neutral,Field,,90,1000000,Lv. 22,1,True,False,False,False,False,49,113,-1,-1,-1,252,-1,Sandshrew,
58,29,Nidoran-F,55,47,52,40,40,41,275,Poison,,,Poison Point,Rivalry,Hustle,7 kG,20,1 HP,55,Blue,5120,F (100%)),Monster,Field,235,1059860,,1,False,False,False,False,False,95,-1,-1,-1,-1,-1,-1,,Nidorina
59,30,Nidorina,70,62,67,55,55,56,365,Poison,,,Poison Point,Rivalry,Hustle,20 kG,40,2 HP,128,Blue,5120,F (100%)),Unknown,,120,1059860,Lv. 16,1,False,False,False,False,False,96,-1,-1,-1,-1,-1,-1,Nidoran-F,Nidoqueen
60,31,Nidoqueen,90,92,87,75,85,76,505,Poison,Ground,,Poison Point,Rivalry,Sheer Force,60 kG,80,3 HP,227,Blue,5120,F (100%)),Unknown,,45,1059860,Moon Stone,1,False,False,False,False,False,97,-1,-1,-1,-1,-1,-1,Nidorina,
61,32,Nidoran-M,46,57,40,40,40,50,273,Poison,,,Poison Point,Rivalry,Hustle,9 kG,20,1 Atk,55,Purple,5120,M (100%),Monster,Field,235,1059860,,1,False,False,False,False,False,98,-1,-1,-1,-1,-1,-1,,Nidorino
62,33,Nidorino,61,72,57,55,55,65,365,Poison,,,Poison Point,Rivalry,Hustle,19.5 kG,40,2 Atk,128,Purple,5120,M (100%),Monster,Field,120,1059860,Lv. 16,1,False,False,False,False,False,99,-1,-1,-1,-1,-1,-1,Nidoran-M,Nidoking
63,34,Nidoking,81,102,77,85,75,85,505,Poison,Ground,,Poison Point,Rivalry,Sheer Force,62 kG,80,3 Atk,227,Purple,5120,M (100%),Monster,Field,45,1059860,Moon Stone,1,False,False,False,False,False,100,-1,-1,-1,-1,-1,-1,Nidorino,
64,35,Clefairy,70,45,48,60,65,35,323,Fairy,,,Cute Charm,Magic Guard,Friend Guard,7.5 kG,20,2 HP,113,Pink,2560,F (75%)),Fairy,,150,800000,Friendship,1,False,False,False,False,False,41,-1,100,-1,-1,211,255,Cleffa,Clefable
65,36,Clefable,95,70,73,95,90,60,483,Fairy,,,Cute Charm,Magic Guard,Unaware,40 kG,60,3 HP,217,Pink,2560,F (75%)),Fairy,,25,800000,Moon Stone,1,False,False,False,False,False,42,-1,101,-1,-1,212,256,Clefairy,
67,37,Vulpix (Alola),38,41,40,50,65,65,299,Ice,,,Snow Cloak,None,Snow Warning,9.9 kG,20,1 Spe,60,Brown,5120,F (75%)),Field,,190,1000000,,1,True,True,True,False,False,127,153,-1,-1,-1,253,68,,Ninetales
66,37,Vulpix,38,41,40,50,65,65,299,Fire,,,Flash Fire,None,Drought,9.9 kG,20,1 Spe,60,Brown,5120,F (75%)),Field,,190,1000000,,1,True,False,False,False,False,127,153,-1,-1,-1,253,68,,Ninetales
69,38,Ninetales (Alola),73,67,75,81,100,109,505,Ice,Fairy,,Snow Cloak,None,Snow Warning,19.9 kG,40,2 Spe,177,Yellow,5120,F (75%)),Field,,75,1000000,Fire Stone,1,True,True,True,False,True,128,154,-1,-1,-1,254,69,Vulpix (Alola),
68,38,Ninetales,73,76,75,81,100,100,505,Fire,,,Flash Fire,None,Drought,19.9 kG,40,1 SpD/1 Spe,177,Yellow,5120,F (75%)),Field,,75,1000000,Fire Stone,1,True,False,False,False,False,128,154,-1,-1,-1,254,69,Vulpix,
70,39,Jigglypuff,115,45,20,45,25,20,270,Normal,Fairy,,Cute Charm,Competitive,Friend Guard,5.5 kG,20,2 HP,95,Pink,2560,F (75%)),Fairy,,170,800000,Friendship,1,False,False,False,False,False,44,138,-1,-1,-1,135,-1,Igglybuff,Wigglytuff
71,40,Wigglytuff,140,70,45,85,50,45,435,Normal,Fairy,,Cute Charm,Competitive,Frisk,12 kG,40,3 HP,196,Pink,2560,F (75%)),Fairy,,50,800000,Moon Stone,1,False,False,False,False,False,45,139,-1,-1,-1,136,-1,Jigglypuff,
72,41,Zubat,40,45,35,30,40,55,245,Poison,Flying,,Inner Focus,None,Infiltrator,7.5 kG,20,1 Spe,49,Purple,3840,Neutral,Flying,,255,1000000,,1,False,False,False,False,False,37,63,28,-1,145,68,-1,,Golbat
73,42,Golbat,75,80,70,65,75,90,455,Poison,Flying,,Inner Focus,None,Infiltrator,55 kG,80,2 Spe,159,Purple,3840,Neutral,Flying,,90,1000000,Lv. 22,1,False,False,False,False,False,38,64,29,-1,146,69,-1,Zubat,Crobat
74,43,Oddish,45,50,55,75,65,30,320,Grass,Poison,,Chlorophyll,None,Run Away,5.4 kG,20,1 SpA,64,Blue,5120,Neutral,Grass,,255,1059860,,1,False,False,False,False,False,83,88,-1,-1,105,-1,55,,Gloom
75,44,Gloom,60,65,70,85,75,40,395,Grass,Poison,,Chlorophyll,None,Stench,8.6 kG,20,2 SpA,138,Blue,5120,Neutral,Grass,,120,1059860,Lv. 21,2,False,False,False,False,False,84,89,-1,-1,106,-1,56,Oddish,"Vileplume,Bellossom"
76,45,Vileplume,75,80,85,110,90,50,490,Grass,Poison,,Chlorophyll,None,Effect Spore,18.6 kG,40,3 SpA,221,Red,5120,Neutral,Grass,,45,1059860,Leaf Stone,1,False,False,False,False,False,85,90,-1,-1,107,-1,57,Gloom,
77,46,Paras,35,70,55,45,55,25,285,Bug,Grass,,Effect Spore,Dry Skin,Damp,5.4 kG,20,1 Atk,57,Red,5120,Neutral,Bug,Grass,190,1000000,,1,False,False,False,False,False,70,-1,-1,-1,-1,147,-1,,Parasect
78,47,Parasect,60,95,80,60,80,30,405,Bug,Grass,,Effect Spore,Dry Skin,Damp,29.5 kG,60,2 Atk/1 Def,142,Red,5120,Neutral,Bug,Grass,75,1000000,Lv. 24,1,False,False,False,False,False,71,-1,-1,-1,-1,148,-1,Paras,
79,48,Venonat,60,55,50,40,55,45,305,Bug,Poison,,Compound Eyes,Tinted Lens,Run Away,30 kG,60,1 SpD,61,Purple,5120,Neutral,Bug,,190,1000000,,1,False,False,False,False,False,109,-1,-1,-1,-1,-1,-1,,Venomoth
80,49,Venomoth,70,65,60,90,75,90,450,Bug,Poison,,Shield Dust,Tinted Lens,Wonder Skin,12.5 kG,40,1 SpA/1 Spe,158,Purple,5120,Neutral,Bug,,75,1000000,Lv. 31,1,False,False,False,False,False,110,-1,-1,-1,-1,-1,-1,Venonat,
82,50,Diglett (Alola),10,55,30,35,45,90,265,Ground,Steel,,Sand Veil,Tangling Hair,Sand Force,1 kG,20,1 Spe,53,Brown,5120,Neutral,Field,,255,1000000,,1,True,True,True,False,False,134,-1,-1,-1,-1,71,164,,Dugtrio
81,50,Diglett,10,55,25,35,45,95,265,Ground,,,Sand Veil,Arena Trap,Sand Force,0.8 kG,20,1 Spe,53,Brown,5120,Neutral,Field,,255,1000000,,1,True,False,False,False,False,134,-1,-1,-1,-1,71,164,,Dugtrio
84,51,Dugtrio (Alola),35,100,60,50,70,110,425,Ground,Steel,,Sand Veil,Tangling Hair,Sand Force,66.6 kG,80,2 Atk,149,Brown,5120,Neutral,Field,,50,1000000,Lv. 26,1,True,True,True,False,True,135,-1,-1,-1,-1,72,165,Diglett (Alola),
83,51,Dugtrio,35,100,50,50,70,120,425,Ground,,,Sand Veil,Arena Trap,Sand Force,33.3 kG,60,2 Spe,149,Brown,5120,Neutral,Field,,50,1000000,Lv. 26,1,True,False,False,False,False,135,-1,-1,-1,-1,72,165,Diglett,
86,52,Meowth (Alola),40,35,35,50,40,90,290,Dark,,,Pickup,Technician,Rattled,4.2 kG,20,1 Spe,58,Yellow,5120,Neutral,Field,,255,1000000,,1,True,True,True,False,False,138,-1,-1,-1,-1,45,182,,Persian
87,52,Meowth (Galar),50,65,55,40,40,40,290,Steel,,,Pickup,Tough Claws,Unnerve,7.5 kG,20,1 Atk,58,Yellow,5120,Neutral,Field,,255,1000000,,1,True,True,False,True,False,138,-1,-1,-1,-1,45,182,,Perrserker
88,52,Meowth (Gmax),40,45,35,40,40,90,290,Normal,,,Pickup,Technician,Unnerve,1000 kG,120,1 Spe,58,Yellow,5120,Neutral,Field,,255,1000000,,1,True,True,False,False,False,138,-1,-1,-1,-1,45,182,,Persian
85,52,Meowth,40,45,35,40,40,90,290,Normal,,,Pickup,Technician,Unnerve,4.2 kG,20,1 Spe,58,Yellow,5120,Neutral,Field,,255,1000000,,1,True,False,False,False,False,138,-1,-1,-1,-1,45,182,,Persian
90,53,Persian (Alola),65,60,60,75,65,115,440,Dark,,,Fur Coat,Technician,Rattled,33 kG,60,2 Spe,154,Yellow,5120,Neutral,Field,,90,1000000,Lv. 28,1,True,True,True,False,True,139,-1,-1,-1,-1,46,184,Meowth (Alola),
89,53,Persian,65,70,60,65,65,115,440,Normal,,,Limber,Technician,Unnerve,32 kG,60,2 Spe,154,Yellow,5120,Neutral,Field,,90,1000000,Lv. 28,1,True,False,False,False,False,139,-1,-1,-1,-1,46,184,Meowth,
91,54,Psyduck,50,52,48,65,50,55,320,Water,,,Damp,Cloud Nine,Swift Swim,19.6 kG,40,1 SpA,64,Yellow,5120,Neutral,Water1,Field,190,1000000,,1,False,False,False,False,False,140,158,43,-1,59,89,-1,,Golduck
92,55,Golduck,80,82,78,95,80,85,500,Water,,,Damp,Cloud Nine,Swift Swim,76.6 kG,80,2 SpA,175,Blue,5120,Neutral,Water1,Field,75,1000000,Lv. 33,1,False,False,False,False,False,141,159,44,-1,60,90,-1,Psyduck,
93,56,Mankey,40,80,35,35,45,70,305,Fighting,,,Vital Spirit,Anger Point,Defiant,28 kG,60,1 Atk,61,Brown,5120,Neutral,Field,,190,1000000,,1,False,False,False,False,False,136,-1,-1,-1,-1,79,-1,,Primeape
94,57,Primeape,65,105,60,60,70,95,455,Fighting,,,Vital Spirit,Anger Point,Defiant,32 kG,60,2 Atk,159,Brown,5120,Neutral,Field,,75,1000000,Lv. 28,1,False,False,False,False,False,137,-1,-1,-1,-1,80,-1,Mankey,
95,58,Growlithe,55,70,45,70,50,60,350,Fire,,,Intimidate,Flash Fire,Justified,19 kG,40,1 Atk,70,Brown,5120,M (75%),Field,,190,1250000,,1,False,False,False,False,False,129,-1,-1,-1,-1,52,70,,Arcanine
96,59,Arcanine,90,110,80,100,80,95,555,Fire,,,Intimidate,Flash Fire,Justified,155 kG,100,2 Atk,194,Brown,5120,M (75%),Field,,75,1250000,Fire Stone,1,False,False,False,False,False,130,-1,-1,-1,-1,53,71,Growlithe,
97,60,Poliwag,40,50,40,40,40,90,300,Water,,,Water Absorb,Damp,Swift Swim,12.4 kG,40,1 Spe,60,Blue,5120,Neutral,Water1,,255,1059860,,1,False,False,False,False,False,72,-1,-1,-1,-1,149,-1,,Poliwhirl
98,61,Poliwhirl,65,65,65,50,50,90,385,Water,,,Water Absorb,Damp,Swift Swim,20 kG,40,2 Spe,135,Blue,5120,Neutral,Water1,,120,1059860,Lv. 25,2,False,False,False,False,False,73,-1,-1,-1,-1,150,-1,Poliwag,"Poliwrath,Politoed"
99,62,Poliwrath,90,95,95,70,90,70,510,Water,Fighting,,Water Absorb,Damp,Swift Swim,54 kG,80,3 Def,230,Blue,5120,Neutral,Water1,,45,1059860,Water Stone,1,False,False,False,False,False,74,-1,-1,-1,-1,151,-1,Poliwhirl,
100,63,Abra,25,20,15,105,55,90,310,Psychic,,,Synchronize,Inner Focus,Magic Guard,19.5 kG,40,1 SpA,62,Brown,5120,M (75%),Human-like,,200,1059860,,1,False,False,False,False,False,89,39,20,-1,102,42,-1,,Kadabra
101,64,Kadabra,40,35,30,120,70,105,400,Psychic,,,Synchronize,Inner Focus,Magic Guard,56.5 kG,80,2 SpA,140,Brown,5120,M (75%),Human-like,,100,1059860,Lv. 16,1,False,False,False,False,False,90,40,21,-1,103,43,-1,Abra,Alakazam
103,65,Alakazam (Mega),55,50,65,175,105,150,600,Psychic,,,Trace,None,,48 kG,60,3 SpA,270,Brown,5120,M (75%),Human-like,,50,1059860,Trade,1,True,True,False,False,False,91,41,22,-1,104,44,-1,Kadabra,
102,65,Alakazam,55,50,45,135,95,120,500,Psychic,,,Synchronize,Inner Focus,Magic Guard,48 kG,60,3 SpA,225,Brown,5120,M (75%),Human-like,,50,1059860,Trade,1,True,False,False,False,False,91,41,22,-1,104,44,-1,Kadabra,
